ID,F1,F5,F2,F1_1,F2_1,F6,F4,F3,F5_1,F1_2,F2_2,F6_1,F2_3,F4_1,F2_4,F5_2,F2_5,F6_2,F1_3,F2_6,F5_3,F4_2,F2_7,F3_1,F2_8,F5_4,F3_2,F1_4,F3_3,F1_5,F5_5,F6_3,F1_6,F5_6,F2_9,F3_4,F4_3,F2_10,F1_7,F6_4,F4_4,F5_7,F3_5,F2_11
72,4,3,4,4,5,2,5,4,4,5,4,4,4,4,5,4,5,4,5,5,4,4,5,4,5,3,4,4,4,4,3,3,5,3,4,4,4,4,4,5,4,5,2,5
73,5,4,4,5,5,3,5,5,5,5,4,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,2,2,5,3,5,5,2,5,5,4,5,5,5,5
74,5,3,5,5,5,1,4,4,3,5,5,5,5,4,5,4,5,5,4,5,3,4,4,4,4,3,4,4,4,4,2,2,4,2,4,4,4,4,4,3,4,5,4,5
75,3,2,4,4,4,4,4,4,3,4,3,2,5,2,4,1,5,5,4,5,2,5,5,4,5,3,2,3,4,4,1,2,4,1,4,4,2,3,4,4,4,5,2,4
76,5,2,5,5,4,3,5,3,4,5,4,5,4,3,,2,4,5,5,5,4,4,3,3,4,4,3,3,3,5,1,3,5,2,5,3,3,4,4,3,4,4,1,3
77,4,3,5,4,4,2,4,,4,4,5,4,2,2,4,2,4,3,4,4,3,4,4,4,4,3,4,4,4,4,2,2,4,1,4,4,3,4,4,3,4,4,3,4
78,5,,4,4,4,2,4,3,3,5,4,4,4,3,4,2,5,5,5,5,3,4,4,2,4,3,2,3,2,4,1,2,4,1,4,2,3,3,3,3,4,4,2,4
79,5,2,5,5,5,2,4,4,4,4,4,4,4,2,4,2,5,5,5,5,4,5,5,2,4,3,2,4,2,4,2,2,5,2,5,2,2,4,4,4,4,5,3,4
80,5,,3,5,5,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,3,5,5,5,5,4,5,5,5,5,1,1,5,1,5,5,1,5,5,3,5,5,3,5
81,5,4,4,5,4,2,4,4,3,5,5,5,5,3,5,2,5,5,5,5,4,4,4,4,5,4,3,3,4,5,2,2,5,3,5,4,2,5,5,4,5,5,3,5
82,4,2,5,4,5,2,4,3,4,4,5,5,5,4,4,2,5,5,4,5,5,5,5,3,2,3,4,3,4,4,1,2,4,4,4,4,4,3,3,3,5,2,2,5
83,3,2,5,5,5,1,5,4,3,5,4,4,4,4,5,1,5,4,4,5,5,4,5,2,5,3,4,2,4,4,1,1,5,1,5,2,4,4,2,3,4,4,2,4
84,3,2,4,4,5,3,4,4,3,4,4,3,4,2,4,3,4,5,4,4,3,4,4,3,4,3,4,4,3,4,3,3,4,3,4,3,3,4,4,3,4,5,3,4
85,2,4,5,4,4,5,4,4,4,4,4,4,5,1,4,1,4,4,4,4,5,5,4,4,5,4,4,4,4,4,3,3,5,2,5,2,1,4,2,4,5,5,2,4
86,4,3,4,4,4,4,3,2,4,4,4,3,3,3,4,2,5,4,4,5,3,3,4,2,4,3,2,4,2,3,2,4,5,3,4,2,3,3,3,5,4,5,1,3
87,4,4,5,4,4,3,4,3,3,4,5,4,5,3,4,4,4,4,4,5,3,4,4,3,4,3,2,2,3,4,2,2,4,1,4,3,3,5,5,4,4,5,1,3
88,5,2,5,5,5,4,5,4,4,4,4,4,4,4,,3,4,3,5,5,4,5,5,4,4,3,4,4,4,4,1,2,5,2,4,3,2,4,4,3,4,4,2,3
89,4,3,4,4,4,3,3,4,4,4,4,3,5,3,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,2,4,3,3,4,3,4,4,4,4,4
90,4,2,4,5,5,2,5,3,3,5,5,4,4,3,5,1,5,5,5,5,4,4,5,2,4,3,3,4,3,4,1,4,5,2,4,3,2,4,4,4,4,5,3,4
91,4,3,5,5,5,2,5,4,4,5,5,5,5,1,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,4,2,2,5,1,5,3,1,5,3,4,5,5,4,5
92,4,2,3,3,4,2,4,4,5,5,4,2,5,3,5,1,5,5,4,4,5,3,3,1,5,,4,4,4,3,2,2,4,1,5,2,4,5,3,3,5,5,1,4
93,5,2,5,5,4,3,4,3,4,5,4,4,5,1,5,1,5,5,5,5,5,4,2,2,5,4,2,4,2,5,1,1,5,1,5,2,1,5,5,3,5,5,4,5
94,4,3,4,4,4,2,4,4,4,4,4,5,4,4,5,2,5,5,4,5,2,4,4,4,4,2,4,3,4,4,2,2,4,2,4,4,3,4,3,2,4,5,4,4
95,5,4,5,5,5,1,5,4,3,5,5,4,4,4,5,1,5,5,5,5,4,4,5,5,5,4,4,2,5,5,1,1,5,1,5,4,5,5,5,4,4,5,3,5
96,5,2,5,5,4,2,5,3,4,5,5,5,4,3,4,2,5,5,5,4,5,4,1,4,5,4,2,2,3,4,1,1,5,2,5,4,4,5,3,3,4,5,3,5
97,4,3,4,4,,4,4,2,4,5,4,5,4,4,5,2,5,5,4,5,3,4,4,2,4,3,2,3,2,3,4,3,4,4,4,3,4,4,3,4,4,5,2,5
98,5,2,4,5,5,3,5,4,4,5,5,4,5,1,5,1,4,4,5,5,5,5,5,2,5,4,3,2,3,5,1,2,5,1,5,2,2,5,4,4,5,5,4,5
99,5,2,5,5,5,1,5,3,4,4,5,5,4,4,4,2,5,4,4,4,4,3,2,3,5,4,4,4,3,5,2,2,5,2,5,3,2,5,4,3,4,5,3,4
100,3,3,4,3,5,1,4,3,3,4,4,4,4,3,4,5,5,5,3,4,3,4,4,3,4,3,3,3,3,3,1,2,4,1,4,3,3,4,3,3,4,4,3,3
101,4,3,4,4,4,2,4,3,4,4,4,3,4,3,4,1,5,4,4,4,4,3,4,4,4,3,3,4,4,4,2,3,4,3,4,4,2,4,4,4,4,4,1,4
102,4,1,5,4,4,2,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,1,3,4,2,4,4,3,3,3,4,3,4,2,3
103,4,3,4,4,5,1,3,4,4,4,3,4,5,4,5,1,5,4,5,5,4,5,4,4,5,2,4,3,4,4,1,1,4,1,5,4,2,5,4,3,5,5,3,5
104,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4
105,4,2,4,4,4,3,4,4,3,4,4,4,4,4,4,2,4,4,3,4,3,3,4,3,4,3,3,4,4,4,2,3,4,3,4,3,4,4,3,3,2,4,1,4
106,5,2,5,5,4,2,4,4,4,5,4,4,2,5,4,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,4,4,4,4,2,4
107,5,2,3,5,5,2,4,3,4,4,4,3,4,2,4,2,5,3,5,5,3,5,5,4,4,3,2,3,3,,2,2,4,2,4,3,3,4,5,4,5,4,2,4
108,4,4,5,4,5,2,4,4,4,4,4,4,5,3,4,2,5,5,4,5,4,4,4,4,5,4,4,4,5,4,3,4,5,4,4,4,2,4,3,4,5,4,4,4
109,4,4,5,4,5,2,5,4,4,4,4,4,5,1,4,2,5,4,4,5,4,5,5,3,5,3,4,4,4,4,2,2,5,3,4,3,2,5,3,4,5,4,4,4
110,5,2,5,5,5,1,5,3,4,5,4,4,5,3,5,4,5,5,5,5,5,5,5,4,5,4,3,3,3,5,2,1,5,1,5,4,2,5,4,2,5,5,2,5
111,5,3,4,4,5,3,4,4,3,4,3,3,2,2,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,2,3,4,3,4,4,3,4,4,4,4,4,4,4
112,5,2,4,5,5,2,4,4,4,5,4,4,4,2,4,4,5,4,5,5,4,4,4,4,5,4,3,3,4,5,2,3,5,2,5,4,2,5,5,4,4,5,4,4
113,5,2,4,5,5,4,4,4,4,4,4,4,4,2,4,2,4,4,5,5,4,5,5,5,5,4,4,4,4,4,2,2,4,1,4,4,2,4,4,2,5,4,2,4
114,4,3,4,5,4,2,4,4,4,4,4,4,4,1,4,3,4,4,5,5,2,5,5,4,4,3,3,3,4,4,3,3,4,2,4,4,1,4,4,4,5,4,2,4
115,4,5,4,4,4,2,4,4,4,5,5,5,4,2,4,2,4,5,5,5,3,5,4,4,4,4,4,4,4,4,3,2,5,4,4,4,2,4,4,4,4,4,4,4
116,4,3,5,4,5,2,3,2,3,4,4,4,4,4,4,2,5,5,4,5,5,3,5,4,5,4,2,4,2,5,2,2,4,2,4,2,4,4,4,3,3,5,2,4
117,5,3,5,5,5,2,4,4,4,5,5,4,4,3,5,2,5,5,5,5,4,4,5,5,4,3,4,4,4,5,2,2,5,2,4,4,2,4,5,3,4,5,3,4
118,3,2,4,4,5,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,3,2,4,3,3,4,3,3,4,4,2,4
119,4,2,4,4,4,3,4,3,4,4,4,4,4,2,4,4,5,5,5,5,4,4,4,3,4,3,3,4,3,4,2,3,4,3,4,4,2,3,3,4,4,5,2,4
120,5,3,5,5,5,3,5,4,4,5,5,4,4,2,5,2,5,5,5,5,4,4,5,4,5,4,4,4,4,5,2,2,4,2,5,4,2,4,4,3,5,5,2,4
121,4,4,5,1,5,1,5,1,4,5,5,5,4,1,4,2,4,4,4,4,2,4,5,1,5,1,1,4,1,1,4,5,4,5,5,1,1,5,1,5,5,1,1,4
122,4,4,4,5,5,2,4,4,3,4,4,4,4,4,5,2,5,5,5,5,4,4,4,4,4,4,3,3,3,4,3,4,5,4,4,4,4,4,3,5,4,4,3,4
123,4,3,3,3,4,3,3,3,3,4,3,3,3,2,4,2,4,3,4,4,3,4,3,3,4,3,3,3,3,4,3,3,4,3,4,3,2,4,3,3,4,3,2,3
124,5,3,5,5,5,2,4,4,5,5,5,4,5,3,5,1,5,5,5,4,5,4,3,4,5,4,4,4,4,5,1,2,4,1,5,4,4,5,4,4,4,5,2,4
125,4,2,4,4,4,2,4,4,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,3,4,4,2,4,4,3,4
126,4,4,4,4,4,2,4,2,5,5,4,4,2,2,4,2,5,5,5,4,5,4,4,2,4,4,2,4,2,4,2,2,5,4,4,2,2,4,4,4,5,5,2,3
127,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,1,5,4,4,4,3,4,4,4,4,3,3,4,4,4,1,2,4,2,4,4,3,4,3,2,4,4,1,4
128,4,3,5,4,5,2,4,4,4,4,5,4,4,4,5,2,5,4,4,4,2,4,4,4,4,4,4,4,4,4,1,2,4,2,4,4,4,4,4,3,4,4,2,4
129,4,3,5,4,4,2,3,2,3,4,4,4,3,5,5,1,5,3,4,5,4,4,4,4,5,3,2,2,2,4,1,2,4,3,4,3,5,4,3,4,4,5,1,3
130,5,2,4,5,5,2,4,4,5,4,4,4,3,1,4,1,5,5,5,4,4,5,4,4,5,4,4,3,4,4,2,2,4,2,4,4,1,5,5,5,5,5,3,4
131,5,2,5,5,5,1,4,2,3,5,5,5,5,3,5,2,5,5,5,5,4,4,5,4,4,3,3,5,4,5,1,1,5,2,5,5,3,4,4,3,5,5,4,5
132,5,3,5,5,5,1,5,4,5,5,5,5,5,4,5,1,5,5,5,5,3,4,5,4,4,4,4,3,4,5,1,1,5,1,5,4,4,3,5,2,5,4,2,5
133,4,4,5,5,4,4,4,3,3,4,4,3,4,3,4,2,4,3,4,4,4,4,3,3,4,3,3,3,3,4,2,4,4,2,4,3,3,4,3,4,4,4,3,4
134,3,2,5,4,5,4,5,4,4,4,4,2,4,3,5,1,5,5,4,5,4,3,4,3,4,3,3,4,3,3,2,4,5,4,5,3,3,4,4,4,5,5,1,4
135,5,2,4,5,4,2,5,4,3,5,4,4,5,2,4,2,5,4,5,4,3,4,4,4,4,4,4,4,4,5,1,2,5,2,5,3,2,4,5,3,5,5,3,4
136,5,3,5,5,5,3,5,4,3,5,5,5,4,3,5,1,5,5,5,5,3,4,5,2,5,3,2,4,2,5,1,1,5,1,5,2,2,5,3,3,5,5,1,5
137,4,2,4,5,4,3,2,4,3,4,4,4,3,5,4,2,4,4,5,5,4,2,2,4,4,2,1,4,3,4,2,2,4,2,4,2,5,2,4,4,4,5,1,4
138,4,3,4,5,5,1,4,4,4,4,4,4,2,3,4,1,5,5,5,5,4,5,5,4,5,3,3,3,4,4,1,1,5,1,5,3,2,4,3,2,5,3,2,4
139,5,3,5,5,4,1,5,3,5,5,5,5,5,5,4,2,5,5,5,4,5,3,4,4,4,4,4,3,5,5,1,1,5,1,4,4,4,4,1,3,2,5,1,4
140,4,2,4,4,4,2,4,3,3,4,4,4,4,4,4,2,5,4,4,4,3,4,4,3,4,3,3,3,4,4,2,2,4,2,4,3,4,4,3,4,4,4,2,4
141,4,3,5,5,5,2,4,4,4,5,5,4,5,2,5,4,5,5,5,5,3,5,4,3,5,3,4,3,4,4,2,2,4,2,5,2,2,5,4,3,5,5,3,4
142,5,2,5,5,5,4,4,4,5,4,5,5,4,4,4,1,5,5,5,5,4,4,4,4,4,3,4,5,4,5,1,2,5,2,5,4,4,4,4,2,4,5,1,4
143,4,2,5,4,4,2,4,2,3,5,4,4,4,4,4,2,5,5,5,4,2,2,3,4,4,2,2,5,2,4,2,1,5,2,4,4,2,4,4,2,4,4,2,4
144,5,2,4,5,4,2,4,4,4,5,4,5,4,4,5,1,4,5,5,5,4,4,4,5,4,4,4,5,4,5,2,2,5,2,4,3,4,4,4,4,4,4,3,4
145,5,3,5,5,5,3,4,2,3,5,5,4,5,2,4,2,4,4,5,5,4,4,,3,4,3,2,4,2,5,2,2,4,2,4,2,2,4,4,3,4,4,2,4
146,5,2,5,5,4,2,4,2,4,4,4,5,5,4,4,1,4,5,5,5,4,2,5,4,4,4,2,4,2,5,1,2,5,2,4,2,4,2,4,2,4,5,1,4
147,4,3,4,4,4,2,4,3,3,5,4,4,4,4,5,2,5,4,4,5,4,4,4,4,4,3,3,4,4,4,2,1,4,2,5,4,4,3,4,4,4,4,2,4
148,4,2,5,4,4,4,4,3,3,4,5,4,4,4,4,2,5,4,4,5,3,4,4,2,4,4,2,3,4,4,2,2,4,2,4,2,4,4,3,4,4,4,2,4
149,5,3,4,5,5,3,5,3,3,4,4,5,4,2,4,1,5,5,5,5,3,5,5,3,5,2,3,3,4,4,1,1,5,3,5,3,2,4,4,3,5,4,2,5
150,5,4,5,5,5,1,5,5,4,5,5,5,5,1,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,2,5,3,5,5,2,5,5,4,5,5,3,5
151,5,2,5,5,5,1,5,1,5,5,5,,4,1,5,4,5,5,5,4,5,5,5,1,5,3,1,5,2,5,1,2,5,1,5,2,1,5,5,3,5,5,2,5
152,4,2,4,4,4,4,4,4,4,4,4,4,4,5,5,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,5,1,5,4,4,4,4,3,3,5,2,4
153,4,1,2,3,5,4,4,4,4,4,2,4,5,2,4,4,5,5,4,5,4,5,5,4,5,4,4,2,4,4,1,2,4,1,5,4,4,4,2,4,5,5,1,4
154,5,2,5,5,5,4,5,4,4,5,5,5,5,4,5,1,5,5,5,5,4,5,,4,5,4,4,5,4,5,2,1,5,2,5,4,4,5,5,4,5,5,4,5
155,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,3,3,4,3,4,2,4,3,2,2,4,3,4,4,4,4,2,4,4,4,2,4
156,5,1,5,5,5,1,5,5,4,5,5,5,1,1,4,2,5,5,5,5,5,5,4,3,5,3,4,4,4,5,1,1,5,1,5,4,1,5,5,2,5,5,4,5
157,5,1,5,5,5,1,5,4,4,5,5,5,5,5,4,,5,5,5,5,5,4,5,5,5,3,3,5,4,5,1,1,5,1,5,4,4,3,5,2,4,5,2,5
158,5,2,4,5,4,2,3,3,4,4,4,4,4,2,4,2,5,4,4,4,4,5,5,2,4,3,2,4,4,4,1,2,4,2,4,2,2,4,4,4,4,4,2,4
159,4,3,5,4,5,4,4,2,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4,4,2,4,2,2,4,4,3,2,4
160,4,3,4,4,5,2,4,3,3,4,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,4,5,3,4
161,4,2,4,4,4,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,4,4,2,4,4,4,4,4,2,4
162,4,3,4,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,2,3,4,2,4,4,4,3,4,4,3,4,4,4
163,5,,2,4,5,2,4,4,4,4,4,4,3,2,5,1,5,5,5,5,4,5,5,5,5,2,4,4,4,5,1,1,4,1,4,4,2,4,4,2,5,4,4,4
164,4,2,5,5,4,1,5,5,4,5,5,5,5,3,5,3,5,5,5,5,4,4,4,4,5,4,5,4,4,5,1,1,5,2,5,5,4,5,4,2,5,5,1,4
165,5,2,5,5,5,1,5,2,4,5,5,5,5,2,5,1,5,5,5,5,2,4,4,2,4,4,1,4,2,5,2,1,5,1,5,1,2,4,4,3,4,4,1,5
166,4,3,5,5,4,5,4,4,4,5,5,4,4,3,4,3,4,3,4,4,5,4,5,4,4,4,3,3,4,4,2,3,4,3,4,4,4,4,4,4,4,4,2,4
167,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,2,4,4,3,3,2,3,4,2,2,4
168,5,3,5,5,4,3,3,3,5,5,5,4,4,5,5,1,4,4,5,5,5,4,3,3,4,5,4,5,3,4,1,2,5,2,5,4,3,5,4,3,4,,3,4
169,5,3,4,5,4,3,5,4,3,4,4,4,4,3,4,3,4,4,5,5,3,5,4,4,4,3,3,4,4,4,2,3,4,2,4,3,3,4,4,3,4,4,2,4
170,5,2,5,5,5,2,5,5,5,5,5,5,4,2,5,2,5,5,5,5,5,5,5,4,5,5,5,4,4,5,1,1,5,1,5,5,2,5,5,2,5,5,4,5
171,5,3,5,4,5,2,3,3,3,4,5,5,4,3,5,1,5,5,5,5,3,4,4,2,5,4,4,4,3,4,1,1,5,1,5,4,5,4,4,3,4,5,2,5
172,5,2,5,5,5,2,5,4,4,5,5,4,4,5,4,2,4,5,5,5,3,5,5,5,5,4,5,5,4,5,1,1,5,2,5,5,1,5,5,4,5,5,3,5
173,3,1,5,3,4,2,5,4,4,5,5,5,4,5,5,1,5,5,4,5,3,4,5,3,4,2,3,4,3,4,1,1,3,1,5,3,5,4,4,4,5,5,3,5
174,4,1,5,5,4,2,5,4,4,5,5,5,5,3,4,1,5,5,5,4,4,4,4,,5,5,4,4,4,4,1,2,5,1,5,4,1,5,4,4,4,5,4,4
175,5,4,5,5,5,2,5,4,5,5,5,5,5,3,5,5,5,5,5,5,2,4,5,4,5,4,4,4,4,5,2,2,5,2,5,4,2,4,4,2,4,4,4,5
176,4,3,5,4,5,4,4,4,4,5,5,4,5,4,4,2,4,4,4,5,5,4,4,4,4,4,4,4,4,4,1,2,5,3,4,4,4,5,3,4,4,4,1,4
177,5,2,5,5,5,3,5,4,3,5,5,3,4,2,5,2,5,5,5,5,5,5,5,4,4,4,4,5,4,5,2,2,5,3,5,4,3,4,4,4,5,5,5,5
178,4,2,4,4,4,4,4,4,4,4,4,4,1,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,2,4,4,4,4,4,4,4,4,2,4
179,5,2,5,4,5,2,4,4,3,5,5,4,4,2,5,1,5,5,5,5,3,4,4,4,4,3,4,4,4,4,2,1,5,2,4,4,3,4,4,3,4,5,2,4
180,5,4,5,5,4,2,5,4,5,5,5,4,4,2,5,2,5,3,5,4,5,5,5,4,5,5,4,1,4,5,3,2,5,1,5,4,2,5,5,5,5,5,3,5
181,5,4,5,5,5,1,5,4,4,5,5,5,4,2,5,1,5,4,5,5,4,5,4,4,5,4,4,5,4,5,1,2,5,2,4,4,2,5,4,4,5,4,5,5
182,5,1,5,5,4,3,4,4,3,5,4,4,3,4,4,2,5,4,5,5,5,3,4,4,4,3,3,3,4,4,1,3,5,1,4,3,3,3,3,4,4,5,2,3
183,5,2,4,5,4,4,4,4,3,5,3,4,4,4,5,3,4,5,5,4,4,4,4,4,4,4,3,3,2,5,1,4,5,1,4,3,4,4,3,2,4,5,4,4
184,5,2,5,5,4,2,5,3,4,5,4,5,4,3,4,2,4,5,5,4,3,4,4,2,4,2,1,2,1,4,1,1,4,1,4,1,4,3,3,3,4,3,1,4
185,5,5,5,5,5,3,5,2,3,5,5,5,5,1,4,2,5,5,5,5,2,5,5,2,5,3,1,4,2,5,2,2,5,4,5,3,2,5,5,3,5,5,3,5
186,5,2,4,5,4,2,5,5,3,5,4,4,4,2,5,1,5,4,5,5,3,4,4,3,5,2,5,4,3,5,2,2,5,3,5,5,2,5,5,3,5,4,4,4
187,5,2,5,5,4,4,4,4,4,4,4,4,4,3,4,2,5,5,5,5,4,4,5,4,4,4,4,4,4,5,2,4,5,2,4,3,4,4,4,4,5,5,4,5
